provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
anthropic,claude-3-opus-20240229,random,10,36,data/USPTO_R_text.csv,0.5,0.5050505050505051,0.9803921568627452,0.6666666666666666
anthropic,claude-3-opus-20240229,random,10,42,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-opus-20240229,random,10,84,data/USPTO_R_text.csv,0.59,0.6666666666666666,0.392156862745098,0.4938271604938271
anthropic,claude-3-opus-20240229,random,10,200,data/USPTO_R_text.csv,0.49,0.5,0.4117647058823529,0.4516129032258064
anthropic,claude-3-opus-20240229,random,10,12345,data/USPTO_R_text.csv,0.51,0.5102040816326531,0.9803921568627452,0.6711409395973155
anthropic,claude-3-haiku-20240307,random,6,36,data/USPTO_R_text.csv,0.58,0.5671641791044776,0.7450980392156863,0.6440677966101694
anthropic,claude-3-haiku-20240307,random,6,42,data/USPTO_R_text.csv,0.54,0.5257731958762887,1.0,0.6891891891891891
anthropic,claude-3-haiku-20240307,random,6,84,data/USPTO_R_text.csv,0.53,0.5222222222222223,0.9215686274509804,0.6666666666666666
anthropic,claude-3-haiku-20240307,random,6,200,data/USPTO_R_text.csv,0.55,0.5319148936170213,0.9803921568627452,0.6896551724137931
anthropic,claude-3-opus-20240229,random,2,12345,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
anthropic,claude-3-haiku-20240307,random,6,12345,data/USPTO_R_text.csv,0.54,0.5263157894736842,0.9803921568627452,0.684931506849315
anthropic,claude-3-haiku-20240307,random,8,36,data/USPTO_R_text.csv,0.56,0.5432098765432098,0.8627450980392157,0.6666666666666666
anthropic,claude-3-haiku-20240307,random,8,42,data/USPTO_R_text.csv,0.53,0.5204081632653061,1.0,0.6845637583892618
anthropic,claude-3-haiku-20240307,random,8,84,data/USPTO_R_text.csv,0.53,0.5208333333333334,0.9803921568627452,0.6802721088435374
anthropic,claude-3-haiku-20240307,random,8,200,data/USPTO_R_text.csv,0.58,0.5569620253164557,0.8627450980392157,0.676923076923077
anthropic,claude-3-haiku-20240307,random,8,12345,data/USPTO_R_text.csv,0.52,0.5154639175257731,0.9803921568627452,0.6756756756756757
anthropic,claude-3-haiku-20240307,random,10,36,data/USPTO_R_text.csv,0.53,0.5204081632653061,1.0,0.6845637583892618
anthropic,claude-3-haiku-20240307,random,10,42,data/USPTO_R_text.csv,0.53,0.524390243902439,0.8431372549019608,0.6466165413533834
anthropic,claude-3-haiku-20240307,random,10,84,data/USPTO_R_text.csv,0.55,0.5441176470588235,0.7254901960784313,0.6218487394957983
anthropic,claude-3-haiku-20240307,random,10,200,data/USPTO_R_text.csv,0.53,0.527027027027027,0.7647058823529411,0.624
anthropic,claude-3-opus-20240229,random,4,36,data/USPTO_R_text.csv,0.52,0.5254237288135594,0.6078431372549019,0.5636363636363636
